Symbol,Name,LastSale,MarketCap,ADR TSO,IPOyear,Sector,Industry,Summary Quote,
TFSCU,1347 Capital Corp.,10.01,41841800,n/a,2014,n/a,n/a,http://www.nasdaq.com/symbol/tfscu,
PIH,1347 Property Insurance Holdings, Inc.,8.56,54425550,n/a,2014,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/pih,
FLWS,1-800 FLOWERS.COM, Inc.,5.45,349271550.35,n/a,1999,Consumer Services,Other Specialty Stores,http://www.nasdaq.com/symbol/flws,
FCTY,1st Century Bancshares, Inc,7.55,76816191.5,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/fcty,
FCCY,1st Constitution Bancorp (NJ),10.109,71619485.025,n/a,n/a,Finance,Savings Institutions,http://www.nasdaq.com/symbol/fccy,
SRCE,1st Source Corporation,28.91,703518692.17,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/srce,
FUBC,1st United Bancorp, Inc. (FL),8.41,290057090.27,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/fubc,
VNET,21Vianet Group, Inc.,27.82,1280878063.14,46041627,2011,Technology,Computer Software: Programming, Data Processing,http://www.nasdaq.com/symbol/vnet,
TWOU,2U, Inc.,13.72,551716940.6,n/a,2014,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/twou,
JOBS,51job, Inc.,72,847172376,11766283,2004,Technology,Diversified Commercial Services,http://www.nasdaq.com/symbol/jobs,
EGHT,8x8 Inc,7.59,672178657.92,n/a,n/a,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/eght,
AVHI,A V Homes, Inc.,15.98,352799936.14,n/a,n/a,Capital Goods,Homebuilding,http://www.nasdaq.com/symbol/avhi,
SHLM,A. Schulman, Inc.,41.48,1211636565.72,n/a,1972,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/shlm,
AAON,AAON, Inc.,21.17,1744270797.23,n/a,n/a,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/aaon,
ASTM,Aastrom Biosciences, Inc.,3.33,21635432.91,n/a,1997,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/astm,
ABAX,ABAXIS, Inc.,42.11,945706380,n/a,1992,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/abax,
ABY,Abengoa Yield plc,39.79,3183200000,n/a,2014,Public Utilities,Electric Utilities: Central,http://www.nasdaq.com/symbol/aby,
ABGB,Abengoa, S.A.,26.12,195508121.64,7484997,2013,Consumer Services,Military/Government/Technical,http://www.nasdaq.com/symbol/abgb,
ABMD,ABIOMED, Inc.,25.82,1041935709.86,n/a,n/a,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/abmd,
AXAS,Abraxas Petroleum Corporation,5.89,620398035.04,n/a,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/axas,
ACTG,Acacia Research Corporation,14.97,749439966.3,n/a,n/a,Miscellaneous,Multi-Sector Companies,http://www.nasdaq.com/symbol/actg,
ACHC,Acadia Healthcare Company, Inc.,47.24,2821149888.6,n/a,n/a,Health Care,Medical Specialities,http://www.nasdaq.com/symbol/achc,
ACAD,ACADIA Pharmaceuticals Inc.,20.73,2051779237.98,n/a,1985,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/acad,
ACST,Acasti Pharma, Inc.,1.01,107322779.78,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/acst,
AXDX,Accelerate Diagnostics, Inc.,20.35,852757002.35,n/a,n/a,Capital Goods,Biotechnology: Laboratory Analytical Instruments,http://www.nasdaq.com/symbol/axdx,
XLRN,Acceleron Pharma Inc.,27.86,876357557.18,n/a,2013,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/xlrn,
ANCX,Access National Corporation,15.69,163385053.56,n/a,n/a,Finance,Savings Institutions,http://www.nasdaq.com/symbol/ancx,
ARAY,Accuray Incorporated,8.78,673990817.4,n/a,2007,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/aray,
ACRX,AcelRx Pharmaceuticals, Inc.,10.63,461009940.06,n/a,2011,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/acrx,
ACET,Aceto Corporation,17.88,513689360.4,n/a,n/a,Consumer Durables,Specialty Chemicals,http://www.nasdaq.com/symbol/acet,
AKAO,Achaogen, Inc.,11.44,202266601.68,n/a,2014,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/akao,
ACHN,Achillion Pharmaceuticals, Inc.,6.91,668860069.78,n/a,2006,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/achn,
ACIW,ACI Worldwide, Inc.,17.85,8123609113.2,n/a,n/a,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/aciw,
ACNB,ACNB Corporation,19.25,115433568.25,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/acnb,
ACOR,Acorda Therapeutics, Inc.,30.38,1265203353.4,n/a,2006,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/acor,
ACFN,Acorn Energy, Inc.,2.19,48595830.63,n/a,n/a,Consumer Services,Military/Government/Technical,http://www.nasdaq.com/symbol/acfn,
ACTS,Actions Semiconductor Co., Ltd.,2.11,78191540.22,37057602,2005,Technology,Semiconductors,http://www.nasdaq.com/symbol/acts,
ACPW,Active Power, Inc.,2.68,61851079.48,n/a,2000,Public Utilities,Electric Utilities: Central,http://www.nasdaq.com/symbol/acpw,
ATVI,Activision Blizzard, Inc,23.12,16547587432,n/a,n/a,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/atvi,
BIRT,Actuate Corporation,4.23,194820348.6,n/a,n/a,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/birt,
ACUR,Acura Pharmaceuticals, Inc.,1.03,50313421.46,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/acur,
ACXM,Acxiom Corporation,19.65,1513889939.25,n/a,n/a,Technology,EDP Services,http://www.nasdaq.com/symbol/acxm,
ADMS,Adamas Pharmaceuticals, Inc.,16.77,280190174.94,n/a,2014,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/adms,
ADMP,Adamis Pharmaceuticals Corporation,4.08,42846197.52,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/admp,
ADUS,Addus HomeCare Corporation,22.6,247493797.8,n/a,2009,Health Care,Medical/Nursing Services,http://www.nasdaq.com/symbol/adus,
AEY,ADDvantage Technologies Group, Inc.,2.55,25544701.5,n/a,n/a,Consumer Services,Office Equipment/Supplies/Services,http://www.nasdaq.com/symbol/aey,
ADEP,Adept Technology, Inc.,9.37,122303574.12,n/a,n/a,Technology,Industrial Machinery/Components,http://www.nasdaq.com/symbol/adep,
ADBE,Adobe Systems Incorporated,72.04,35830912217.56,n/a,1986,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/adbe,
ADTN,ADTRAN, Inc.,22.26,1255846782.96,n/a,1994,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/adtn,
ADES,Advanced Emissions Solutions, Inc.,20.85,226525158.6,n/a,n/a,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/ades,
AEIS,Advanced Energy Industries, Inc.,18.48,759696131.04,n/a,1995,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/aeis,
ADXS,Advaxis, Inc.,2.9,55894898.7,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/adxs,
ADXSW,Advaxis, Inc.,0.9501,0,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/adxsw,
ADVS,Advent Software, Inc.,31.705,1631777024.09,n/a,1995,Technology,EDP Services,http://www.nasdaq.com/symbol/advs,
MULT,AdvisorShares Sunrise Global Multi-Strategy ETF,25.23,2523000,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/mult,
YPRO,AdvisorShares YieldPro ETF,25.197,71811450,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/ypro,
AEGR,Aegerion Pharmaceuticals, Inc.,28.75,847634841.25,n/a,2010,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/aegr,
AEGN,Aegion Corp,22.58,857527004.98,n/a,n/a,Basic Industries,Water Supply,http://www.nasdaq.com/symbol/aegn,
AEHR,Aehr Test Systems,2.86,31562942.84,n/a,1997,Capital Goods,Electrical Products,http://www.nasdaq.com/symbol/aehr,
AMTX,Aemetis, Inc,12.75,260454794.25,n/a,n/a,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/amtx,
AEPI,AEP Industries Inc.,40.37,205103660.52,n/a,1986,Capital Goods,Specialty Chemicals,http://www.nasdaq.com/symbol/aepi,
AERI,Aerie Pharmaceuticals, Inc.,21.64,507177870.2,n/a,2013,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/aeri,
AVAV,AeroVironment, Inc.,33.77,782672971.52,n/a,2007,Capital Goods,Aerospace,http://www.nasdaq.com/symbol/avav,
AEZS,AEterna Zentaris Inc.,1.2,67816762.8,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/aezs,
ATRM,Aetrium Incorporated,4.84,5223211.84,n/a,1993,Capital Goods,Electrical Products,http://www.nasdaq.com/symbol/atrm,
AFFX,Affymetrix, Inc.,8.56,622721938.4,n/a,1996,Capital Goods,Biotechnology: Laboratory Analytical Instruments,http://www.nasdaq.com/symbol/affx,
AGEN,Agenus Inc.,3.05,189820898,n/a,2000,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/agen,
AGRX,Agile Therapeutics, Inc.,7.03,130702174.77,n/a,2014,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/agrx,
AGYS,Agilysys, Inc.,13.23,297231781.77,n/a,n/a,Technology,EDP Services,http://www.nasdaq.com/symbol/agys,
AGIO,Agios Pharmaceuticals, Inc.,39.36,1336494108.48,n/a,2013,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/agio,
AIRM,Air Methods Corporation,51.1,2000638635.1,n/a,n/a,Transportation,Transportation Services,http://www.nasdaq.com/symbol/airm,
AIRT,Air T, Inc.,12.22,28778442.16,n/a,n/a,Transportation,Air Freight/Delivery Services,http://www.nasdaq.com/symbol/airt,
ATSG,Air Transport Services Group, Inc,8.12,527373659.4,n/a,n/a,Transportation,Air Freight/Delivery Services,http://www.nasdaq.com/symbol/atsg,
AMCN,AirMedia Group Inc,2.1801,94178889.8544,43199344,2007,Technology,Advertising,http://www.nasdaq.com/symbol/amcn,
"AIXG","Aixtron SE","13.99","92858205.3","6637470","n/a","Technology","Industrial Machinery/Components","http://www.nasdaq.com/symbol/aixg",
"AKAM","Akamai Technologies, Inc.","58.49","10411282642.79","n/a","1999","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/akam",
"AKBA","Akebia Therapeutics, Inc.","23.19","469882574.67","n/a","2014","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/akba",
"AKER","Akers Biosciences Inc","3.94","19285657.78","n/a","2014","Health Care","Biotechnology: In Vitro & In Vivo Diagnostic Substances","http://www.nasdaq.com/symbol/aker",
"AKRX","Akorn, Inc.","34.32","3566587939.2","n/a","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/akrx",
"ALSK","Alaska Communications Systems Group, Inc.","1.72","84928859.68","n/a","1999","Public Utilities","Telecommunications Equipment","http://www.nasdaq.com/symbol/alsk",
"AMRI","Albany Molecular Research, Inc.","20.24","655042704.8","n/a","1999","Health Care","Biotechnology: Commercial Physical & Biological Resarch","http://www.nasdaq.com/symbol/amri",
"ABDC","Alcentra Capital Corp.","13.95","188558885.7","n/a","2014","n/a","n/a","http://www.nasdaq.com/symbol/abdc",
"ALCS","ALCO Stores, Inc.","6.95","22644225.9","n/a","n/a","Consumer Services","Department/Specialty Retail Stores","http://www.nasdaq.com/symbol/alcs",
"ADHD","Alcobra Ltd.","17.99","245324394.91","n/a","2013","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/adhd",
"ALDR","Alder BioPharmaceuticals, Inc.","16.23","499943531.64","n/a","2014","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/aldr",
"ALDX","Aldeyra Therapeutics, Inc.","4.5","25044358.5","n/a","2014","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/aldx",
"ALXN","Alexion Pharmaceuticals, Inc.","173.08","34234610604.48","n/a","1996","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/alxn",
"ALXA","Alexza Pharmaceuticals, Inc.","4.99","86427543.51","n/a","2006","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/alxa",
"ALCO","Alico, Inc.","39.13","287835975.7","n/a","n/a","Consumer Non-Durables","Farming/Seeds/Milling","http://www.nasdaq.com/symbol/alco",
"ALGN","Align Technology, Inc.","53.12","4336472660.48","n/a","2001","Health Care","Industrial Specialties","http://www.nasdaq.com/symbol/algn",
"ALIM","Alimera Sciences, Inc.","5.87","236711682.9","n/a","2010","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/alim",
"ALKS","Alkermes plc","46.21","6678046282.96","n/a","1991","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/alks",
"ALGT","Allegiant Travel Company","124.85","2235734270.55","n/a","2006","Transportation","Air Freight/Delivery Services","http://www.nasdaq.com/symbol/algt",
"ALLB","Alliance Bancorp, Inc. of Pennsylvania","16.4","68657534","n/a","n/a","Finance","Savings Institutions","http://www.nasdaq.com/symbol/allb",
"AFOP","Alliance Fiber Optic Products, Inc.","16.8","310321216.8","n/a","2000","Technology","Semiconductors","http://www.nasdaq.com/symbol/afop",
"AIQ","Alliance HealthCare Services, Inc.","29.71","316986774.73","n/a","2001","Health Care","Medical Specialities","http://www.nasdaq.com/symbol/aiq",
"AHGP","Alliance Holdings GP, L.P.","70.04","4192804520","n/a","2006","Energy","Coal Mining","http://www.nasdaq.com/symbol/ahgp",
"ARLP","Alliance Resource Partners, L.P.","48.57","3597124993.38","n/a","1999","Energy","Coal Mining","http://www.nasdaq.com/symbol/arlp",
"AHPI","Allied Healthcare Products, Inc.","2.13","17097823.11","n/a","1992","Health Care","Industrial Specialties","http://www.nasdaq.com/symbol/ahpi",
"AMOT","Allied Motion Technologies, Inc.","13.01","120229326.01","n/a","n/a","Capital Goods","Electrical Products","http://www.nasdaq.com/symbol/amot",
"ALQA","Alliqua, Inc.","5.25","82624164","n/a","n/a","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/alqa",
"ALLT","Allot Communications Ltd.","13.02","428060076.36","n/a","2006","Technology","Computer Communications Equipment","http://www.nasdaq.com/symbol/allt",
"MDRX","Allscripts Healthcare Solutions, Inc.","16.75","3006346196.25","n/a","n/a","Technology","EDP Services","http://www.nasdaq.com/symbol/mdrx",
"AFAM","Almost Family Inc","23.49","221943644.19","n/a","n/a","Health Care","Medical/Nursing Services","http://www.nasdaq.com/symbol/afam",
"ALNY","Alnylam Pharmaceuticals, Inc.","55.86","4220412421.26","n/a","2004","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/alny",
"AOSL","Alpha and Omega Semiconductor Limited","9.33","243817661.82","n/a","2010","Technology","Semiconductors","http://www.nasdaq.com/symbol/aosl",
"ATEC","Alphatec Holdings, Inc.","1.37","133815281.56","n/a","2006","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/atec",
"ALTI","Altair Nanotechnologies Inc.","3.3008","38256493.1536","n/a","n/a","Basic Industries","Major Chemicals","http://www.nasdaq.com/symbol/alti",
"ALTR","Altera Corporation","33.59","10522282677.54","n/a","1988","Technology","Semiconductors","http://www.nasdaq.com/symbol/altr",
"ASPS","Altisource Portfolio Solutions S.A.","112.9","2512721818.8","n/a","n/a","Consumer Services","Other Consumer Services","http://www.nasdaq.com/symbol/asps",
"APSA","Alto Palermo S.A.","22.49","42057874.3","1870070","n/a","Consumer Services","Building operators","http://www.nasdaq.com/symbol/apsa",
"AIMC","Altra Industrial Motion Corp.","36.2","979840205.8","n/a","2006","Capital Goods","Industrial Machinery/Components","http://www.nasdaq.com/symbol/aimc",
"AMAG","AMAG Pharmaceuticals, Inc.","19.04","417263370.72","n/a","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/amag",
"AMRN","Amarin Corporation PLC","1.58","261445086.92","165471574","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/amrn",
"AMRK","A-Mark Precious Metals, Inc.","11.72","86759222.08","n/a","n/a","Basic Industries","Other Specialty Stores","http://www.nasdaq.com/symbol/amrk",
"AMZN","Amazon.com, Inc.","358.14","164804354068.56","n/a","1997","Consumer Services","Catalog/Specialty Distribution","http://www.nasdaq.com/symbol/amzn",
"AMBC","Ambac Financial Group, Inc.","23.75","1068811156.25","n/a","n/a","Finance","Property-Casualty Insurers","http://www.nasdaq.com/symbol/ambc",
"AMBCW","Ambac Financial Group, Inc.","15.15","0","n/a","n/a","Finance","Property-Casualty Insurers","http://www.nasdaq.com/symbol/ambcw",
"AMBA","Ambarella, Inc.","29.64","866201494.08","n/a","2012","Technology","Semiconductors","http://www.nasdaq.com/symbol/amba",
"EPAX","Ambassadors Group, Inc.","3.929","66945079.803","n/a","n/a","Consumer Services","Other Consumer Services","http://www.nasdaq.com/symbol/epax",
"AMBI","Ambit Biosciences Corporation","5.49","98673499.35","n/a","2013","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/ambi",
"AMCX","AMC Networks Inc.","62.96","4537956398.32","n/a","n/a","Consumer Services","Television Services","http://www.nasdaq.com/symbol/amcx",
"DOX","Amdocs Limited","48","7679136000","n/a","n/a","Technology","EDP Services","http://www.nasdaq.com/symbol/dox",
"AMDA","Amedica Corporation","4.21","52037090.34","n/a","2014","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/amda",
"AMED","Amedisys Inc","16.05","526642310.25","n/a","n/a","Health Care","Medical/Nursing Services","http://www.nasdaq.com/symbol/amed",
"UHAL","Amerco","285.49","5597827396.12","n/a","n/a","Consumer Services","Rental/Leasing Companies","http://www.nasdaq.com/symbol/uhal",
"ASBI","Ameriana Bancorp","15.0001","44861579.0752","n/a","n/a","Finance","Savings Institutions","http://www.nasdaq.com/symbol/asbi",
"ATAX","America First Multifamily Investors, L.P.","6","361517568","n/a","n/a","Finance","Finance: Consumer Services","http://www.nasdaq.com/symbol/atax",
"AMOV","America Movil, S.A.B. de C.V.","23.51","251002234.53","10676403","n/a","Public Utilities","Telecommunications Equipment","http://www.nasdaq.com/symbol/amov",
"AAL","American Airlines Group, Inc.","43.33","31206102255.93","n/a","n/a","Transportation","Air Freight/Delivery Services","http://www.nasdaq.com/symbol/aal",
"AGNC","American Capital Agency Corp.","23.51","8294062501.57","n/a","2008","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/agnc",
"AGNCB","American Capital Agency Corp.","24.59","172130000","n/a","n/a","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/agncb",
"AGNCP","American Capital Agency Corp.","26.09","0","n/a","n/a","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/agncp",
"MTGE","American Capital Mortgage Investment Corp.","19.92","1018749894.96","n/a","2011","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/mtge",
"MTGEP","American Capital Mortgage Investment Corp.","25.15","50300000","n/a","n/a","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/mtgep",
"ACSF","American Capital Senior Floating, Ltd.","14.05","140501405","n/a","2014","n/a","n/a","http://www.nasdaq.com/symbol/acsf",
"ACAS","American Capital, Ltd.","15.14","4056927102.46","n/a","1997","n/a","n/a","http://www.nasdaq.com/symbol/acas",
"ANCI","American Caresource Holdings Inc","3.17","21283253.2","n/a","n/a","Health Care","Hospital/Nursing Management","http://www.nasdaq.com/symbol/anci",
"AETI","American Electric Technologies, Inc.","6.985","57109939.755","n/a","n/a","Energy","Industrial Machinery/Components","http://www.nasdaq.com/symbol/aeti",
"AMIC","American Independence Corp.","11.83","95577113.45","n/a","n/a","Finance","Accident &Health Insurance","http://www.nasdaq.com/symbol/amic",
"AMNB","American National Bankshares, Inc.","21.5","169962724.5","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/amnb",
"ANAT","American National Insurance Company","112.69","3028177732.88","n/a","n/a","Finance","Life Insurance","http://www.nasdaq.com/symbol/anat",
"APEI","American Public Education, Inc.","34.53","603450976.08","n/a","2007","Consumer Services","Other Consumer Services","http://www.nasdaq.com/symbol/apei",
"ARII","American Railcar Industries, Inc.","69.72","1488682146.84","n/a","2006","Capital Goods","Railroads","http://www.nasdaq.com/symbol/arii",
"HCT","American Realty Capital Healthcare Trust, Inc.","10.82","1831846612.1","n/a","n/a","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/hct",
"ARCP","American Realty Capital Properties, Inc.","12.995","10006144827.99","n/a","2011","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/arcp",
"ARCPP","American Realty Capital Properties, Inc.","23.74","1020820000","n/a","n/a","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/arcpp",
"AMRB","American River Bankshares","9.15","74417288.55","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/amrb",
"ASEI","American Science and Engineering, Inc.","67.94","535775859.1","n/a","n/a","Health Care","Medical Electronics","http://www.nasdaq.com/symbol/asei",
"AMSWA","American Software, Inc.","9.65","272652991.4","n/a","n/a","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/amswa",
"AMSC","American Superconductor Corporation","1.9","150738054.2","n/a","1991","Consumer Durables","Metal Fabrications","http://www.nasdaq.com/symbol/amsc",
"AMWD","American Woodmark Corporation","31.96","495844282.92","n/a","1986","Basic Industries","Forest Products","http://www.nasdaq.com/symbol/amwd",
"CRMT","America's Car-Mart, Inc.","37.17","324716822.64","n/a","n/a","Consumer Durables","Automotive Aftermarket","http://www.nasdaq.com/symbol/crmt",
"ABCB","Ameris Bancorp","21.32","536372461.56","n/a","1994","Finance","Major Banks","http://www.nasdaq.com/symbol/abcb",
"AMSF","AMERISAFE, Inc.","38.47","718406437.73","n/a","2005","Finance","Property-Casualty Insurers","http://www.nasdaq.com/symbol/amsf",
"ASRV","AmeriServ Financial Inc.","3.36","63150823.68","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/asrv",
"ASRVP","AmeriServ Financial Inc.","26.55","0","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/asrvp",
"ATLO","Ames National Corporation","22.64","210799070.32","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/atlo",
"AMGN","Amgen Inc.","122.01","92364211272.48","n/a","1983","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","http://www.nasdaq.com/symbol/amgn",
"FOLD","Amicus Therapeutics, Inc.","4.1","263796156.6","n/a","2007","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/fold",
"AMKR","Amkor Technology, Inc.","10.35","2448482598.45","n/a","1998","Technology","Semiconductors","http://www.nasdaq.com/symbol/amkr",
"AMPH","Amphastar Pharmaceuticals, Inc.","9.14","396730291.6","n/a","2014","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/amph",
"AMSG","Amsurg Corp.","48.23","2042392771.51","n/a","n/a","Health Care","Medical/Nursing Services","http://www.nasdaq.com/symbol/amsg",
"AMSGP","Amsurg Corp.","105.1795","181434637.5","n/a","n/a","Health Care","Medical/Nursing Services","http://www.nasdaq.com/symbol/amsgp",
"ASYS","Amtech Systems, Inc.","10.06","99014171.78","n/a","n/a","Technology","Industrial Machinery/Components","http://www.nasdaq.com/symbol/asys",
"AFSI","AmTrust Financial Services, Inc.","41.41","3123629430.06","n/a","n/a","Finance","Property-Casualty Insurers","http://www.nasdaq.com/symbol/afsi",
"AMRS","Amyris, Inc.","3.69","290199979.89","n/a","2010","Basic Industries","Major Chemicals","http://www.nasdaq.com/symbol/amrs",
"ANAC","Anacor Pharmaceuticals, Inc.","16.95","710401247.1","n/a","2010","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/anac",
"ANAD","ANADIGICS, Inc.","0.8116","69441350.6148","n/a","1995","Technology","Semiconductors","http://www.nasdaq.com/symbol/anad",
"ADI","Analog Devices, Inc.","51.28","16109376265.84","n/a","n/a","Technology","Semiconductors","http://www.nasdaq.com/symbol/adi",
"ALOG","Analogic Corporation","74.77","925276656.44","n/a","1972","Capital Goods","Electrical Products","http://www.nasdaq.com/symbol/alog",
"ANCB","Anchor Bancorp","19.29","49189500","n/a","2011","Finance","Banks","http://www.nasdaq.com/symbol/ancb",
"AMCF","Andatee China Marine Fuel Services Corporation","1.774","18193812.262","n/a","2010","Energy","Oil Refining/Marketing","http://www.nasdaq.com/symbol/amcf",
"ANGI","Angie's List, Inc.","10.17","595063755.09","n/a","2011","Consumer Services","Advertising","http://www.nasdaq.com/symbol/angi",
"ANGO","AngioDynamics, Inc.","15.28","541159031.76","n/a","2004","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/ango",
"ANIP","ANI Pharmaceuticals, Inc.","31.56","356433779.76","n/a","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/anip",
"ANIK","Anika Therapeutics Inc.","48.42","698285156.4","n/a","n/a","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/anik",
"ANSS","ANSYS, Inc.","76.77","7113733212.87","n/a","1996","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/anss",
"ATRS","Antares Pharma, Inc.","2.18","283470889.24","n/a","n/a","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/atrs",
"ANTH","Anthera Pharmaceuticals, Inc.","3.03","63289385.58","n/a","2010","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/anth",
"APAGF","Apco Oil and Gas International Inc.","14.2","418065636.4","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/apagf",
"ATNY","API Technologies Corp.","2.19","121320270.96","n/a","n/a","Technology","Semiconductors","http://www.nasdaq.com/symbol/atny",
"APOG","Apogee Enterprises, Inc.","34.02","991063121.58","n/a","n/a","Capital Goods","Auto Parts:O.E.M.","http://www.nasdaq.com/symbol/apog",
"APOL","Apollo Education Group, Inc.","29.27","3211182430","n/a","1994","Consumer Services","Other Consumer Services","http://www.nasdaq.com/symbol/apol",
"AINV","Apollo Investment Corporation","8.7","2059649753.7","n/a","2004","n/a","n/a","http://www.nasdaq.com/symbol/ainv",
"AAPL","Apple Inc.","97.19","606846876370","n/a","1980","Technology","Computer Manufacturing","http://www.nasdaq.com/symbol/aapl",
"ARCI","Appliance Recycling Centers of America, Inc.","4.15","23160847.05","n/a","n/a","Consumer Services","Home Furnishings","http://www.nasdaq.com/symbol/arci",
"AGTC","Applied Genetic Technologies Corporation","16.7","235170919.7","n/a","2014","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","http://www.nasdaq.com/symbol/agtc",
"AMAT","Applied Materials, Inc.","21.9","26661090660","n/a","1972","Technology","Semiconductors","http://www.nasdaq.com/symbol/amat",
"AMCC","Applied Micro Circuits Corporation","10.2","796896277.2","n/a","1997","Technology","Semiconductors","http://www.nasdaq.com/symbol/amcc",
